date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:35:50	34191/34191	---M-Z	404	error ('Not%20Found')	text/html	etag:%223ac7f-69980bf7-ee7267a58443af5d;gz%22	https://prodesk.in/robots.txt		(from )
12:35:51	240767/240767	---M-Z	200	added ('OK')	text/html	etag:%223ac7f-69980bf7-ee7267a58443af5d;gz%22	https://prodesk.in/	D:/ansh.ts/Prodesk/prodesk.in/index.html	(from )
12:35:51	436/436	---M--	200	added ('OK')	image/png	etag:%221b4-69980bf6-c699564ea49979f7;;;%22	https://prodesk.in/assets/images/img_65691e6b25.png	D:/ansh.ts/Prodesk/prodesk.in/assets/images/img_65691e6b25.png	(from https://prodesk.in/)
12:35:51	568/568	---M--	200	added ('OK')	image/png	etag:%22238-69980bf5-23f281d3c51476d6;;;%22	https://prodesk.in/assets/images/img_f324ddea6d.png	D:/ansh.ts/Prodesk/prodesk.in/assets/images/img_f324ddea6d.png	(from https://prodesk.in/)
12:35:51	658/658	---M--	200	added ('OK')	image/png	etag:%22292-69980bf5-2270440982f9a4ba;;;%22	https://prodesk.in/assets/images/img_8f834d96d4.png	D:/ansh.ts/Prodesk/prodesk.in/assets/images/img_8f834d96d4.png	(from https://prodesk.in/)
12:35:52	882/882	---M--	200	added ('OK')	image/png	etag:%22372-69980bf7-ac0ca7f494e87757;;;%22	https://prodesk.in/assets/images/img_c1499c1a7f.png	D:/ansh.ts/Prodesk/prodesk.in/assets/images/img_c1499c1a7f.png	(from https://prodesk.in/)
12:35:52	1176/1176	---M--	200	added ('OK')	image/png	etag:%22498-69980bf6-56c779a4de1672b5;;;%22	https://prodesk.in/assets/images/img_6a46d127aa.png	D:/ansh.ts/Prodesk/prodesk.in/assets/images/img_6a46d127aa.png	(from https://prodesk.in/)
12:35:52	1304/1304	---M--	200	added ('OK')	image/png	etag:%22518-69980bf7-c0baf7694c9122c5;;;%22	https://prodesk.in/assets/images/img_dcecb60b00.png	D:/ansh.ts/Prodesk/prodesk.in/assets/images/img_dcecb60b00.png	(from https://prodesk.in/)
12:35:52	1336/1336	---M--	200	added ('OK')	image/png	etag:%22538-69980bf6-2ad43f5c212c63d9;;;%22	https://prodesk.in/assets/images/img_01bbbcefa0.png	D:/ansh.ts/Prodesk/prodesk.in/assets/images/img_01bbbcefa0.png	(from https://prodesk.in/)
12:35:52	1658/1658	---M--	200	added ('OK')	image/png	etag:%2267a-69980bf7-8c48f0e24eef3550;;;%22	https://prodesk.in/assets/images/img_d670834cc9.png	D:/ansh.ts/Prodesk/prodesk.in/assets/images/img_d670834cc9.png	(from https://prodesk.in/)
12:35:53	2968/2968	---M--	200	added ('OK')	image/png	etag:%22b98-69980bf6-842a06edea6d8465;;;%22	https://prodesk.in/assets/images/img_5bd6fc25b7.png	D:/ansh.ts/Prodesk/prodesk.in/assets/images/img_5bd6fc25b7.png	(from https://prodesk.in/)
12:35:53	2902/2902	---M--	200	added ('OK')	image/png	etag:%22b56-69980bf6-908148665c6b24;;;%22	https://prodesk.in/assets/images/img_80fed00d48.png	D:/ansh.ts/Prodesk/prodesk.in/assets/images/img_80fed00d48.png	(from https://prodesk.in/)
12:35:53	3780/3780	---M--	200	added ('OK')	image/png	etag:%22ec4-69980bf5-8f11c8f41ba747ef;;;%22	https://prodesk.in/assets/images/img_2bbf6321fa.png	D:/ansh.ts/Prodesk/prodesk.in/assets/images/img_2bbf6321fa.png	(from https://prodesk.in/)
12:35:53	3804/3804	---M--	200	added ('OK')	image/png	etag:%22edc-69980bf6-a55a7dea48f3262f;;;%22	https://prodesk.in/assets/images/img_ad50fe6102.png	D:/ansh.ts/Prodesk/prodesk.in/assets/images/img_ad50fe6102.png	(from https://prodesk.in/)
12:35:54	4576/4576	---M--	200	added ('OK')	image/png	etag:%2211e0-69980bf5-57a2e2c296c51059;;;%22	https://prodesk.in/assets/images/img_f25056d4d8.png	D:/ansh.ts/Prodesk/prodesk.in/assets/images/img_f25056d4d8.png	(from https://prodesk.in/)
12:35:54	240767/240767	---M-Z	404	error ('Not%20Found')	text/html	etag:%223ac7f-69980bf7-ee7267a58443af5d;gz%22	https://prodesk.in/home	D:/ansh.ts/Prodesk/prodesk.in/home	(from https://prodesk.in/)
12:35:54	52711/52711	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Feb%202026%2017:59:41%20GMT	https://media.gettyimages.com/id/1294886766/video/server-room-4k-resolution.jpg?b=1&s=640x640&k=20&c=Psmsu8nm3FQKSAhrgkcj8xhFnSrx1bw1lXlLg5QSxzY=	D:/ansh.ts/Prodesk/media.gettyimages.com/id/1294886766/video/gettyimages-1294886766-640x6407ae6.jpg	(from https://prodesk.in/)
12:35:55	26988/26988	---M--	200	added ('OK')	font/woff2	etag:%22696c-69980bf5-89f9ccec492cf6a4;;;%22	https://prodesk.in/assets/fonts/font_1b2c175fad.woff2	D:/ansh.ts/Prodesk/prodesk.in/assets/fonts/font_1b2c175fad.woff2	(from https://prodesk.in/)
12:35:55	25864/25864	---M--	200	added ('OK')	font/woff2	etag:%226508-69980bf5-b0e45324909e1dc0;;;%22	https://prodesk.in/assets/fonts/font_d9bd74d6fc.woff2	D:/ansh.ts/Prodesk/prodesk.in/assets/fonts/font_d9bd74d6fc.woff2	(from https://prodesk.in/)
12:35:55	11384/11384	---M--	200	added ('OK')	font/woff2	etag:%222c78-69980bf5-c49b69358b49cb88;;;%22	https://prodesk.in/assets/fonts/font_d1be2857f0.woff2	D:/ansh.ts/Prodesk/prodesk.in/assets/fonts/font_d1be2857f0.woff2	(from https://prodesk.in/)
12:35:55	31480/31480	---M--	200	added ('OK')	font/woff2	etag:%227af8-69980bf5-f3e6871df020b837;;;%22	https://prodesk.in/assets/fonts/font_a5d1c04376.woff2	D:/ansh.ts/Prodesk/prodesk.in/assets/fonts/font_a5d1c04376.woff2	(from https://prodesk.in/)
12:35:55	48264/48264	---M--	200	added ('OK')	font/woff2	etag:%22bc88-69980bf5-8b0ab31926bd07b7;;;%22	https://prodesk.in/assets/fonts/font_a7bf8b3891.woff2	D:/ansh.ts/Prodesk/prodesk.in/assets/fonts/font_a7bf8b3891.woff2	(from https://prodesk.in/)
12:35:56	52711/52711	---M--	200	added ('OK')	image/jpeg	etag:%22cde7-69980bf7-602f1e9c32f0fc3c;;;%22	https://prodesk.in/assets/images/img_c501054127.jpg	D:/ansh.ts/Prodesk/prodesk.in/assets/images/img_c501054127.jpg	(from https://prodesk.in/)
12:35:56	240767/240767	---M-Z	200	added ('OK')	text/html	etag:%223ac7f-69980bf7-ee7267a58443af5d;gz%22	https://prodesk.in/index.html	D:/ansh.ts/Prodesk/prodesk.in/index-2.html	(from https://prodesk.in/)
12:35:56	7288/7288	---M--	200	added ('OK')	image/png	etag:%221c78-69980bf6-b8c7729b82751178;;;%22	https://prodesk.in/assets/images/img_11b1956777.png	D:/ansh.ts/Prodesk/prodesk.in/assets/images/img_11b1956777.png	(from https://prodesk.in/)
12:35:57	164441/164441	---M-Z	200	added ('OK')	text/html	etag:%2228259-69980bf8-2b7e066377db6b67;gz%22	https://prodesk.in/about-us.html	D:/ansh.ts/Prodesk/prodesk.in/about-us.html	(from https://prodesk.in/)
12:35:57	163093/163093	---M-Z	200	added ('OK')	text/html	etag:%2227d15-69980bf8-5a1b0f60a7937cf4;gz%22	https://prodesk.in/our-values.html	D:/ansh.ts/Prodesk/prodesk.in/our-values.html	(from https://prodesk.in/)
12:35:57	162679/162679	---M-Z	200	added ('OK')	text/html	etag:%2227b77-69980bf7-c23a6c6f4921a089;gz%22	https://prodesk.in/our-vision.html	D:/ansh.ts/Prodesk/prodesk.in/our-vision.html	(from https://prodesk.in/)
12:35:57	164865/164865	---M-Z	200	added ('OK')	text/html	etag:%2228401-69980bf4-498106021811bdf6;gz%22	https://prodesk.in/who-we-are.html	D:/ansh.ts/Prodesk/prodesk.in/who-we-are.html	(from https://prodesk.in/)
12:35:58	165550/165550	---M-Z	200	added ('OK')	text/html	etag:%22286ae-69980bf8-80343654d02ca88;gz%22	https://prodesk.in/what-we-do.html	D:/ansh.ts/Prodesk/prodesk.in/what-we-do.html	(from https://prodesk.in/)
12:35:58	171646/171646	---M-Z	200	added ('OK')	text/html	etag:%2229e7e-69980bf8-20193680b5d4e467;gz%22	https://prodesk.in/software-development.html	D:/ansh.ts/Prodesk/prodesk.in/software-development.html	(from https://prodesk.in/)
12:35:58	176509/176509	---M-Z	200	added ('OK')	text/html	etag:%222b17d-69980bf8-c80bd0f65c6f86cf;gz%22	https://prodesk.in/web-development.html	D:/ansh.ts/Prodesk/prodesk.in/web-development.html	(from https://prodesk.in/)
12:35:59	184963/184963	---M-Z	200	added ('OK')	text/html	etag:%222d283-69980bf8-1f27427f55ab36bb;gz%22	https://prodesk.in/mobile-app-development.html	D:/ansh.ts/Prodesk/prodesk.in/mobile-app-development.html	(from https://prodesk.in/)
12:35:59	166846/166846	---M-Z	200	added ('OK')	text/html	etag:%2228bbe-69980bf8-a22edc663f71b78e;gz%22	https://prodesk.in/crm-solutions.html	D:/ansh.ts/Prodesk/prodesk.in/crm-solutions.html	(from https://prodesk.in/)
